TempS1;UmiS1;TempS2;UmiS2;Diff;DtGravacao
21,8;73;21;71;0,8;2025-08-27 20:11:54
21,8;73;21;71;0,8;2025-08-27 20:12:00
21,8;73;21;71;0,8;2025-08-27 20:12:05
21,8;73;21;71;0,8;2025-08-27 20:12:10
21,8;73;21;71;0,8;2025-08-27 20:12:15
21,8;73;21;71;0,8;2025-08-27 20:12:20
21,8;73;21;71;0,8;2025-08-27 20:12:26
21,8;73;21;71;0,8;2025-08-27 20:12:31
21,8;73;21;71;0,8;2025-08-27 20:12:36
21,8;73;21;71;0,8;2025-08-27 20:12:41
21,8;73;21;71;0,8;2025-08-27 20:12:47
21,8;73;21;71;0,8;2025-08-27 20:12:52
21,8;73;21;71;0,8;2025-08-27 20:12:57
21,8;73;21;71;0,8;2025-08-27 20:13:02
21,8;73;21;71;0,8;2025-08-27 20:13:07
21,8;73;21;71;0,8;2025-08-27 20:13:13
21,8;73;21;71;0,8;2025-08-27 20:13:18
21,8;73;21;71;0,8;2025-08-27 20:13:23
21,8;73;21;71;0,8;2025-08-27 20:13:28
21,8;73;21;71;0,8;2025-08-27 20:13:34
21,8;73;21;71;0,8;2025-08-27 20:13:39
21,8;73;21;71;0,8;2025-08-27 20:13:44
21,8;73;21;71;0,8;2025-08-27 20:13:49
21,8;73;21;71;0,8;2025-08-27 20:13:55
21,8;73;21;71;0,8;2025-08-27 20:14:00
21,8;73;21;71;0,8;2025-08-27 20:14:05
21,8;73;21;71;0,8;2025-08-27 20:14:10
21,8;73;21;71;0,8;2025-08-27 20:14:16
21,8;73;21;71;0,8;2025-08-27 20:14:21
21,8;73;21;71;0,8;2025-08-27 20:14:26
21,8;73;21;71;0,8;2025-08-27 20:14:31
21,8;73;21;71;0,8;2025-08-27 20:14:36
21,8;73;21;71;0,8;2025-08-27 20:14:42
21,8;73;21;71;0,8;2025-08-27 20:14:47
21,8;73;21;71;0,8;2025-08-27 20:14:52
21,8;73;21;71;0,8;2025-08-27 20:14:57
21,8;73;21;71;0,8;2025-08-27 20:15:03
21,8;73;21;71;0,8;2025-08-27 20:15:08
21,8;73;21;71;0,8;2025-08-27 20:15:13
21,8;73;21;71;0,8;2025-08-27 20:15:18
21,8;73;21;71;0,8;2025-08-27 20:15:23
21,8;73;21;71;0,8;2025-08-27 20:15:29
21,8;73;21;71;0,8;2025-08-27 20:15:34
21,8;73;21;71;0,8;2025-08-27 20:15:39
21,8;73;21;71;0,8;2025-08-27 20:15:44
21,8;73;21;71;0,8;2025-08-27 20:15:50
21,8;73;21;71;0,8;2025-08-27 20:15:55
21,8;73;21;71;0,8;2025-08-27 20:16:00
21,8;73;21;71;0,8;2025-08-27 20:16:05
21,8;73;21;71;0,8;2025-08-27 20:16:11
21,8;73;21;71;0,8;2025-08-27 20:16:16
21,8;73;21;71;0,8;2025-08-27 20:16:21
21,8;73;21;71;0,8;2025-08-27 20:16:26
21,8;73;21;71;0,8;2025-08-27 20:16:31
21,8;73;21;71;0,8;2025-08-27 20:16:37
21,8;73;21;71;0,8;2025-08-27 20:16:42
21,8;73;21;71;0,8;2025-08-27 20:16:47
21,8;73;21;71;0,8;2025-08-27 20:16:52
21,8;73;21;71;0,8;2025-08-27 20:16:58
21,8;73;21;71;0,8;2025-08-27 20:17:03
21,8;73;21;71;0,8;2025-08-27 20:17:08
21,8;73;21;71;0,8;2025-08-27 20:17:13
21,8;73;21;71;0,8;2025-08-27 20:17:18
21,8;73;21;71;0,8;2025-08-27 20:17:24
21,8;73;21;71;0,8;2025-08-27 20:17:29
21,8;73;21;71;0,8;2025-08-27 20:17:34
21,8;73;21;71;0,8;2025-08-27 20:17:39
21,8;73;21;71;0,8;2025-08-27 20:17:45
21,8;73;21;71;0,8;2025-08-27 20:17:50
21,8;73;21;71;0,8;2025-08-27 20:17:55
21,8;73;21;71;0,8;2025-08-27 20:18:00
21,8;73;21;71;0,8;2025-08-27 20:18:05
21,8;73;21;71;0,8;2025-08-27 20:18:11
21,8;73;21;71;0,8;2025-08-27 20:18:16
21,8;73;21;71;0,8;2025-08-27 20:18:21
21,8;73;21;71;0,8;2025-08-27 20:18:26
21,8;73;21;71;0,8;2025-08-27 20:18:32
21,8;73;21;71;0,8;2025-08-27 20:18:37
21,8;73;21;71;0,8;2025-08-27 20:18:42
21,8;73;21;71;0,8;2025-08-27 20:18:47
21,8;73;21;71;0,8;2025-08-27 20:18:52
21,8;73;21;71;0,8;2025-08-27 20:18:58
21,8;73;21;71;0,8;2025-08-27 20:19:03
21,8;73;21;71;0,8;2025-08-27 20:19:08
21,8;73;21;71;0,8;2025-08-27 20:19:13
21,8;73;21;71;0,8;2025-08-27 20:19:19
21,8;73;21;71;0,8;2025-08-27 20:19:24
21,8;73;21;71;0,8;2025-08-27 20:19:29
21,8;73;21;71;0,8;2025-08-27 20:19:34
21,8;73;21;71;0,8;2025-08-27 20:19:39
21,8;73;21;71;0,8;2025-08-27 20:19:45
21,8;73;21;71;0,8;2025-08-27 20:19:50
21,8;73;21;71;0,8;2025-08-27 20:19:55
21,8;73;21;71;0,8;2025-08-27 20:20:00
21,8;73;21;71;0,8;2025-08-27 20:20:06
21,8;73;21;71;0,8;2025-08-27 20:20:11
21,8;73;21;71;0,8;2025-08-27 20:20:16
21,8;73;21;71;0,8;2025-08-27 20:20:21
21,8;73;21;71;0,8;2025-08-27 20:20:26
21,8;73;21;71;0,8;2025-08-27 20:20:32
21,8;73;21;71;0,8;2025-08-27 20:20:37
21,8;73;21;71;0,8;2025-08-27 20:20:42
21,8;73;21;71;0,8;2025-08-27 20:20:48
21,8;73;21;71;0,8;2025-08-27 20:20:53
21,6;73;21;71;0,6;2025-08-27 20:20:58
21,5;73;21;71;0,5;2025-08-27 20:21:03
21,5;73;21;71;0,5;2025-08-27 20:21:09
21,5;73;21;71;0,5;2025-08-27 20:21:14
21,5;73;21;71;0,5;2025-08-27 20:21:19
21,5;73;21;71;0,5;2025-08-27 20:21:24
21,4;73;21;71;0,4;2025-08-27 20:21:29
21,4;73;21;71;0,4;2025-08-27 20:21:35
21,4;73;21;71;0,4;2025-08-27 20:21:40
21,4;73;21;71;0,4;2025-08-27 20:21:45
21,4;73;21;71;0,4;2025-08-27 20:21:50
21,4;73;21;71;0,4;2025-08-27 20:21:56
21,4;73;21;71;0,4;2025-08-27 20:22:01
21,4;73;21;71;0,4;2025-08-27 20:22:06
21,4;73;21;71;0,4;2025-08-27 20:22:11
21,4;73;21;71;0,4;2025-08-27 20:22:16
21,4;73;21;71;0,4;2025-08-27 20:22:22
21,5;73;21;71;0,5;2025-08-27 20:22:27
21,5;73;21;71;0,5;2025-08-27 20:22:32
21,4;73;21;71;0,4;2025-08-27 20:22:37
21,4;73;21;71;0,4;2025-08-27 20:22:43
21,4;73;21;71;0,4;2025-08-27 20:22:48
21,4;73;21;71;0,4;2025-08-27 20:22:53
21,4;73;21;71;0,4;2025-08-27 20:22:58
21,4;73;21;71;0,4;2025-08-27 20:23:03
21,4;73;21;71;0,4;2025-08-27 20:23:09
21,4;73;21;71;0,4;2025-08-27 20:23:14
21,4;73;21;71;0,4;2025-08-27 20:23:19
21,4;73;21;71;0,4;2025-08-27 20:23:24
21,4;73;21;71;0,4;2025-08-27 20:23:30
21,4;73;21;71;0,4;2025-08-27 20:23:35
21,4;73;21;71;0,4;2025-08-27 20:23:40
21,4;73;21;71;0,4;2025-08-27 20:23:45
21,4;73;21;71;0,4;2025-08-27 20:23:50
21,4;73;21;71;0,4;2025-08-27 20:23:56
21,4;73;21;71;0,4;2025-08-27 20:24:01
21,4;73;21;71;0,4;2025-08-27 20:24:06
21,4;73;21;71;0,4;2025-08-27 20:24:11
21,4;73;21;71;0,4;2025-08-27 20:24:17
21,4;73;21;71;0,4;2025-08-27 20:24:22
21,4;73;21;71;0,4;2025-08-27 20:24:27
21,4;73;21;71;0,4;2025-08-27 20:24:32
21,4;73;21;71;0,4;2025-08-27 20:24:37
21,4;73;21;71;0,4;2025-08-27 20:24:43
21,4;73;21;71;0,4;2025-08-27 20:24:48
21,4;73;21;71;0,4;2025-08-27 20:24:53
21,4;73;21;71;0,4;2025-08-27 20:24:58
21,4;73;21;71;0,4;2025-08-27 20:25:04
21,4;73;21;71;0,4;2025-08-27 20:25:09
21,4;73;21;71;0,4;2025-08-27 20:25:14
21,4;73;21;71;0,4;2025-08-27 20:25:19
21,4;73;21;71;0,4;2025-08-27 20:25:24
21,4;73;21;71;0,4;2025-08-27 20:25:30
21,4;73;21;71;0,4;2025-08-27 20:25:35
21,4;73;21;71;0,4;2025-08-27 20:25:40
21,4;73;21;71;0,4;2025-08-27 20:25:45
21,5;73;21;71;0,5;2025-08-27 20:25:51
21,4;73;21;71;0,4;2025-08-27 20:25:56
21,5;73;21;71;0,5;2025-08-27 20:26:01
21,5;73;21;71;0,5;2025-08-27 20:26:06
21,5;73;21;71;0,5;2025-08-27 20:26:12
21,5;73;21;71;0,5;2025-08-27 20:26:17
21,4;73;21;71;0,4;2025-08-27 20:26:22
21,4;73;21;71;0,4;2025-08-27 20:26:27
21,4;73;21;71;0,4;2025-08-27 20:26:32
21,4;73;21;71;0,4;2025-08-27 20:26:38
21,4;73;21;71;0,4;2025-08-27 20:26:43
